Название,Цена,Описание,Характеристики,Фото
Насос Yildiz YKBF 4,по запросу,,Производительность:120 м3/час Обороты:400 об/мин Давление насоса:14 бар Производительность:120 м3/час Обороты:400 об/мин Давление насоса:14 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2169/pompa1.png 
Насос Yildiz YKF 5,по запросу,,Производительность:110 м3/час Обороты:280 об/мин Давление насоса:9 бар Производительность:110 м3/час Обороты:280 об/мин Давление насоса:9 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2170/pompa1.png 
Насос Yildiz YKF 6,по запросу,,Производительность:135 м3/час Обороты:350 об/мин Давление насоса:9 бар Производительность:135 м3/час Обороты:350 об/мин Давление насоса:9 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2171/pompa1.png 
Насос Yildiz YKF 8,по запросу,,Производительность:200 м3/час Обороты:220 об/мин Давление насоса:9 бар Производительность:200 м3/час Обороты:220 об/мин Давление насоса:9 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2172/pompa1.png 
Насос Yildiz YMB 1,по запросу,,Производительность:3 м3/час Обороты:1400 об/мин Давление насоса:10 бар Производительность:3 м3/час Обороты:1400 об/мин Давление насоса:10 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2173/pompa1.png 
Насос Yildiz YMB 1 1/2,по запросу,,Производительность:5.7 м3/час Обороты:1400 об/мин Давление насоса:10 бар Производительность:5.7 м3/час Обороты:1400 об/мин Давление насоса:10 бар Вязкость:10 - 1.650 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2174/pompa1.png 
Насос Yildiz YMBF 2,по запросу,,Производительность:15 м3/час Обороты:500 об/мин Давление насоса:5 бар Производительность:15 м3/час Обороты:500 об/мин Давление насоса:5 бар Вязкость:10 - 5.500 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2175/pompa1.png 
Насос Yildiz YMBF 2 1/2,по запросу,,Производительность:23 м3/час Обороты:450 об/мин Давление насоса:5 бар Производительность:23 м3/час Обороты:450 об/мин Давление насоса:5 бар Вязкость:10 - 5.500 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2176/pompa1.png 
Насос Yildiz YMBUF 2 1/2,по запросу,,Производительность:32 м3/час Обороты:400 об/мин Давление насоса:5 бар Производительность:32 м3/час Обороты:400 об/мин Давление насоса:5 бар Вязкость:10 - 5.500 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2177/pompa1.png 
Насос Yildiz YMBF 3,по запросу,,Производительность:32 м3/час Обороты:400 об/мин Давление насоса:5 бар Производительность:32 м3/час Обороты:400 об/мин Давление насоса:5 бар Вязкость:10 - 5.500 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2178/pompa1.png 
Насос Yildiz YC 1,по запросу,,Производительность:0.25 м3/час Обороты:100 об/мин Давление насоса:5 бар Производительность:0.25 м3/час Обороты:100 об/мин Давление насоса:5 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2179/pompa1.png 
Насос Yildiz YC 1 1/2,по запросу,,Производительность:0.3 м3/час Обороты:100 об/мин Давление насоса:5 бар Производительность:0.3 м3/час Обороты:100 об/мин Давление насоса:5 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2180/pompa1.png 
Насос Yildiz YCF 2,по запросу,,Производительность:2.7 м3/час Обороты:100 об/мин Давление насоса:5 бар Производительность:2.7 м3/час Обороты:100 об/мин Давление насоса:5 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2181/pompa1.png 
Насос Yildiz YCF 2 1/2,по запросу,,Производительность:6 м3/час Обороты:100 об/мин Давление насоса:5 бар Производительность:6 м3/час Обороты:100 об/мин Давление насоса:5 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2182/pompa1.png 
Насос Yildiz YCUF 2 1/2,по запросу,,Производительность:7 м3/час Обороты:100 об/мин Давление насоса:5 бар Производительность:7 м3/час Обороты:100 об/мин Давление насоса:5 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2183/pompa1.png 
Насос Yildiz YCF 3,по запросу,,Производительность:7 м3/час Обороты:100 об/мин Давление насоса:5 бар Производительность:7 м3/час Обороты:100 об/мин Давление насоса:5 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2184/pompa1.png 
Шестиренчатый насос Yildiz YMD 3/4,по запросу,,Производительность:1.4 м3/час Обороты:1500 об/мин Давление насоса:30 бар Производительность:1.4 м3/час Обороты:1500 об/мин Давление насоса:30 бар Вязкость:10 - 550 сСт Макс. температура перекачиваемой среды:100 ºС ,https://rusgroupp.ru/assets/images/products/2185/pompa-ymd.png 
Шестиренчатый насос Yildiz YMD 1,по запросу,,Производительность:2.5 м3/час Обороты:1500 об/мин Давление насоса:30 бар Производительность:2.5 м3/час Обороты:1500 об/мин Давление насоса:30 бар Вязкость:10 - 550 сСт Макс. температура перекачиваемой среды:100 ºС ,https://rusgroupp.ru/assets/images/products/2186/pompa-ymd.png 
Шестиренчатый насос Yildiz YMD 1 1/2,по запросу,,Производительность:7.7 м3/час Обороты:1500 об/мин Давление насоса:30 бар Производительность:7.7 м3/час Обороты:1500 об/мин Давление насоса:30 бар Вязкость:10 - 550 сСт Макс. температура перекачиваемой среды:100 ºС ,https://rusgroupp.ru/assets/images/products/2187/pompa-ymd.png 
Шестиренчатый насос Yildiz YMDY 1,по запросу,,Производительность:3 м3/час Обороты:1500 об/мин Давление насоса:12 бар Производительность:3 м3/час Обороты:1500 об/мин Давление насоса:12 бар Вязкость:10 - 550 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2188/pompa-ymd.png 
Шестиренчатый насос Yildiz YMDY 2,по запросу,,Производительность:7 м3/час Обороты:1500 об/мин Давление насоса:12 бар Производительность:7 м3/час Обороты:1500 об/мин Давление насоса:12 бар Вязкость:10 - 550 сСт Макс. температура перекачиваемой среды:70 ºС ,https://rusgroupp.ru/assets/images/products/2189/pompa-ymd.png 
Шестиренчатый насос Yildiz YHL 2,по запросу,,Производительность:12 м3/час Обороты:900 об/мин Давление насоса:10 бар Производительность:12 м3/час Обороты:900 об/мин Давление насоса:10 бар Вязкость:10 - 550 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2190/yhl.jpg 
Шестиренчатый насос Yildiz YHL 2 1/2,по запросу,,Производительность:38 м3/час Обороты:450 об/мин Давление насоса:15 бар Производительность:38 м3/час Обороты:450 об/мин Давление насоса:15 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:350 ºС ,https://rusgroupp.ru/assets/images/products/2191/yhl.jpg 
Шестиренчатый насос Yildiz YHL 3,по запросу,,Производительность:38 м3/час Обороты:450 об/мин Давление насоса:15 бар Производительность:38 м3/час Обороты:450 об/мин Давление насоса:15 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:350 ºС ,https://rusgroupp.ru/assets/images/products/2192/yhl.jpg 
Шестиренчатый насос Yildiz YHL 4,по запросу,,Производительность:76 м3/час Обороты:450 об/мин Давление насоса:15 бар Производительность:76 м3/час Обороты:450 об/мин Давление насоса:15 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2193/yhl.jpg 
Шестиренчатый насос Yildiz YHL 8,по запросу,,Производительность:250 м3/час Обороты:450 об/мин Давление насоса:15 бар Производительность:250 м3/час Обороты:450 об/мин Давление насоса:15 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2194/yhl.jpg 
Шестиренчатый насос Yildiz YHL 10,по запросу,,Производительность:250 м3/час Обороты:450 об/мин Давление насоса:15 бар Производительность:250 м3/час Обороты:450 об/мин Давление насоса:15 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:200 ºС ,https://rusgroupp.ru/assets/images/products/2195/yhl.jpg 
Кулачковый насос Yildiz YLP2 006-010,по запросу,,Производительность:3.6 м3/час Обороты:1000 об/мин Давление насоса:10 бар Производительность:3.6 м3/час Обороты:1000 об/мин Давление насоса:10 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2196/ylp.jpg 
Кулачковый насос Yildiz YLP2 012-010,по запросу,,Производительность:7.2 м3/час Обороты:750 об/мин Давление насоса:10 бар Производительность:7.2 м3/час Обороты:750 об/мин Давление насоса:10 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2197/ylp.jpg 
Кулачковый насос Yildiz YLP2 018-015,по запросу,,Производительность:8 м3/час Обороты:750 об/мин Давление насоса:10 бар Производительность:8 м3/час Обороты:750 об/мин Давление насоса:10 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2198/ylp.jpg 
Кулачковый насос Yildiz YLP2 023-020,по запросу,,Производительность:10.3 м3/час Обороты:750 об/мин Давление насоса:8 бар Производительность:10.3 м3/час Обороты:750 об/мин Давление насоса:8 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2199/ylp.jpg 
Кулачковый насос Yildiz YLP3 035-020,по запросу,,Производительность:10.5 м3/час Обороты:500 об/мин Давление насоса:8 бар Производительность:10.5 м3/час Обороты:500 об/мин Давление насоса:8 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2200/ylp.jpg 
Кулачковый насос Yildiz YLP3 050-020,по запросу,,Производительность:15 м3/час Обороты:500 об/мин Давление насоса:7 бар Производительность:15 м3/час Обороты:500 об/мин Давление насоса:7 бар Вязкость:10 - 55.000 сСт Макс. температура перекачиваемой среды:150 ºС ,https://rusgroupp.ru/assets/images/products/2201/ylp.jpg 
